"ID_PRODUCT_EXT";"NAME_PRODUCT_EXT";"ID_BUSINESS"
149;"Расчеты по пластиковым картам ООО ""ШКДП"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";12
150;"Расчеты по пластиковым картам ООО ""ШКДП"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";12
61;"Расчеты по пластиковым картам ООО ""ШКДП"" НЕРЕЗИДЕНТ#VISA CL ZP STANDART RUR";12
62;"Расчеты по пластиковым картам ООО ""ШКДП"" НЕРЕЗИДЕНТ#VISA GOLD ZP STANDART RUR";12
147;"Расчеты по пластиковым картам ООО ""ШКДП""#VISA CL ZP STANDART RUR";12
148;"Расчеты по пластиковым картам ООО ""ШКДП""#VISA GOLD ZP STANDART RUR";12
81;"Расчеты по пластиковым картам ООО ""ЭКО-СТРОЙ""#VISA CL ZP STANDART RUR";12
82;"Расчеты по пластиковым картам ООО ""ЭКО-СТРОЙ""#VISA GOLD ZP STANDART RUR";12
71;"Расчеты по пластиковым картам ООО ""ЭСКДЭ"" НЕРЕЗИДЕНТ#VISA CL ZP STANDART RUR";12
72;"Расчеты по пластиковым картам ООО ""ЭСКДЭ"" НЕРЕЗИДЕНТ#VISA GOLD ZP STANDART RUR";12
0;"Текущие счета";4
